Data-Kwartał,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów
2004/Q4 (gru 04) ,"18,82%~branża 23,62%","11,89%~branża 12,32%","8,76%~branża 10,69%","8,09%~branża 9,34%","10,12%~branża 11,37%","10,23%~branża 11,76%","19,80%~branża 19,80%","12,87%~branża 14,04%"
2005/Q4 (gru 05) ,"27,46%~branża 26,19%","13,71%~branża 12,89%","12,01%~branża 12,16%","11,12%~branża 10,51%","8,93%~branża 10,62%","12,80%~branża 12,00%","17,26%~branża 17,26%","14,81%~branża 14,91%"
2006/Q1 (mar 06) ,"24,88%~branża 25,56%","12,65%~branża 12,99%","10,06%~branża 11,61%","9,35%~branża 9,77%","7,23%~branża 10,20%","10,78%~branża 11,18%","15,18%~branża 15,18%","13,61%~branża 15,42%"
2006/Q2 (cze 06) ,"14,28%~branża 23,18%","7,30%~branża 10,93%","6,46%~branża 9,86%","5,27%~branża 7,66%","6,83%~branża 10,05%","6,67%~branża 9,14%","14,50%~branża 14,50%","8,96%~branża 14,10%"
2006/Q3 (wrz 06) ,"13,54%~branża 23,60%","7,07%~branża 11,78%","6,38%~branża 9,86%","5,06%~branża 8,28%","6,82%~branża 10,08%","6,65%~branża 9,49%","14,38%~branża 14,38%","8,92%~branża 14,03%"
2006/Q4 (gru 06) ,"10,54%~branża 20,60%","4,37%~branża 9,81%","4,87%~branża 9,06%","3,76%~branża 7,40%","6,02%~branża 9,64%","5,16%~branża 8,66%","13,23%~branża 13,23%","5,67%~branża 11,98%"
2007/Q1 (mar 07) ,"8,86%~branża 16,22%","3,70%~branża 8,09%","4,55%~branża 8,25%","3,04%~branża 6,84%","5,96%~branża 8,96%","4,49%~branża 8,14%","13,35%~branża 13,35%","5,54%~branża 9,78%"
2007/Q2 (cze 07) ,"9,85%~branża 17,02%","4,20%~branża 7,77%","4,50%~branża 8,27%","3,34%~branża 6,16%","6,06%~branża 9,05%","4,87%~branża 7,88%","13,51%~branża 13,51%","5,65%~branża 10,44%"
2007/Q3 (wrz 07) ,"7,76%~branża 17,38%","3,41%~branża 6,38%","3,76%~branża 8,06%","2,58%~branża 5,00%","5,19%~branża 8,78%","3,47%~branża 7,25%","12,76%~branża 12,76%","4,98%~branża 10,28%"
2007/Q4 (gru 07) ,"12,10%~branża 22,32%","5,23%~branża 7,94%","4,08%~branża 8,70%","3,78%~branża 6,72%","4,47%~branża 8,90%","4,72%~branża 8,81%","12,02%~branża 12,02%","5,65%~branża 10,16%"
2008/Q1 (mar 08),"14,78%~branża 23,38%","6,39%~branża 8,14%","4,09%~branża 8,02%","4,38%~branża 6,60%","4,26%~branża 8,11%","5,25%~branża 8,44%","11,22%~branża 11,22%","5,97%~branża 9,69%"
2008/Q2 (cze 08) ,"17,17%~branża 25,66%","7,46%~branża 9,95%","4,24%~branża 7,46%","4,84%~branża 7,82%","4,16%~branża 7,41%","5,68%~branża 9,17%","10,66%~branża 10,66%","6,54%~branża 9,41%"
2008/Q3 (wrz 08) ,"14,19%~branża 20,06%","6,09%~branża 7,46%","3,53%~branża 5,84%","3,78%~branża 5,78%","3,45%~branża 5,80%","4,66%~branża 6,56%","9,43%~branża 9,43%","5,70%~branża 7,47%"
2008/Q4 (gru 08) ,"-14,06%~branża 7,23%","-5,33%~branża 4,11%","-2,02%~branża 1,06%","-3,15%~branża 0,89%","0,94%~branża 1,80%","-3,67%~branża 1,12%","6,96%~branża 6,96%","-3,41%~branża 4,92%"
2009/Q1 (mar 09) ,"-24,37%~branża -14,22%","-8,49%~branża -4,98%","-3,26%~branża 1,26%","-5,54%~branża -3,50%","-0,13%~branża 2,82%","-6,52%~branża -3,52%","6,37%~branża 6,37%","-5,00%~branża 0,44%"
2009/Q2 (cze 09) ,"-26,10%~branża -11,64%","-9,57%~branża -4,38%","-4,90%~branża 0,52%","-6,76%~branża -2,78%","-1,48%~branża 2,22%","-8,14%~branża -2,82%","5,51%~branża 5,51%","-6,93%~branża -1,40%"
2009/Q3 (wrz 09) ,"-20,39%~branża -8,02%","-7,92%~branża -3,28%","-5,35%~branża 0,36%","-5,84%~branża -2,07%","-1,69%~branża 2,19%","-7,21%~branża -1,30%","5,93%~branża 5,93%","-7,26%~branża -1,18%"
2009/Q4 (gru 09) ,"6,87%~branża 8,50%","2,67%~branża 2,78%","1,62%~branża 1,50%","1,93%~branża 1,84%","1,58%~branża 1,52%","2,12%~branża 2,02%","8,96%~branża 8,96%","2,23%~branża 2,82%"
2010/Q1 (mar 10) ,"15,37%~branża 15,37%","6,09%~branża 6,23%","2,66%~branża 2,66%","4,24%~branża 4,24%","2,53%~branża 2,53%","4,96%~branża 4,96%","9,43%~branża 9,43%","3,82%~branża 4,55%"
2010/Q2 (cze 10) ,"9,16%~branża 9,16%","3,49%~branża 3,49%","3,13%~branża 3,13%","2,43%~branża 1,94%","3,02%~branża 3,02%","3,05%~branża 2,28%","9,51%~branża 9,51%","4,50%~branża 4,50%"
2010/Q3 (wrz 10) ,"10,16%~branża 10,16%","4,23%~branża 4,23%","3,46%~branża 3,46%","2,72%~branża 2,58%","3,28%~branża 3,28%","3,37%~branża 3,01%","9,48%~branża 9,48%","5,38%~branża 5,38%"
2010/Q4 (gru 10) ,"10,96%~branża 10,96%","4,64%~branża 4,64%","3,74%~branża 1,99%","2,84%~branża 1,55%","3,85%~branża 2,00%","3,67%~branża 1,69%","9,55%~branża -21,18%","6,10%~branża 6,10%"
